title,text,rating,timestamp,item_title,category,label,images
Good tread on the bottom!,"The only thing I don’t like about this shoe is all the “plastic” around shoe strings and the label on the tongue of the shoe. Seems unnecessary. I have bought these twice however, because the tread is excellent.",4,08/11/2022 17:31,Skechers Women's Squad Sr Food Service Shoe,Clothing_Shoes_and_Jewelry,OR,
Beautiful Bling Bling - Great Customer Support,"We would love to love this earrings.  However, one of the earrings post is crooked or bent.  This makes it impossible to remove the other half.  I need to buy a long-noose pliers to straightened this out.  Depends on the quality of the metal and how brittle it is - there is also possibility of the post breaking when it is straightened out. We are not happy about this. Update 2023-January-22 ----------------------------- Customer Support was very attentive and quickly rectified this issue.  Thus am upgrading the rating.",4,14/01/2023 21:14,Sonateomber Statement Gold Chain Waterfall Earrings for Women - Trendy Curved Bar Long Tassel Fringe Chandelier Drop Dangle Fashion Jewelry Gifts,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/71nPWmnMuwL._SL1600_.jpg
Just perfect,Perfect size perfect shape perfect color just perfect,5,03/01/2023 05:14,"Calvin Klein Reyna Novelty Satchel, Caramel Combo, One Size",Clothing_Shoes_and_Jewelry,OR,
Well made and comfortable,"These are nice socks. Stretchy material with varying thickness/contours for various portions of the foot to provide a ""custom"" fit. Other reviews said they run a bit small, so I ordered a size up and they fit and feel great.",4,09/02/2023 20:46,Brady Men's Live Sock,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/81Qffps3A3L._SL1600_.jpg
Great flip flops,Love the color. Love the fit.,5,09/03/2023 20:14,Billabong Men's Offshore Impact Sandal Flip-Flop,Clothing_Shoes_and_Jewelry,OR,
Nice,"This was a Christmas gift for my son inlaw and I was so proud that I chose this shirt, fit was extra large and just right and the color was a very muted purple. He really likes the shirt. It's comfy, not bulky. Looks really nice.",5,02/01/2023 20:34,Gioberti Men's Plaid Checkered 100% Cotton Brushed Flannel Shirt,Clothing_Shoes_and_Jewelry,OR,
So Adorable,"This Toddler Baby Girl Romper is adorable. The pattern and colors are super feminine and my granddaughter loved the pink tassels. It fit her well but has a little room for her to grow. I believe it came with a head ""scarf"" that matches but my granddaughter won't wear anything on her head. We are so happy with this summer romper. Great product found on Amazon.",5,07/07/2022 15:48,SAPGEJJDJFGE Toddler Baby Girl Clothes Backless Shorts Romper Tassel Jumpsuits Summer Outfit Set with Headband 12M-5T,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/71wuVJBxSrL._SL1600_.jpg
Softer and a brighter white than the smooths,"I did try before you buy on these, the stiffer leather smooth ones and the ones with the white eyelets and laces. This fit the most true to size. If you’re a half size the stiffer smooths are roomier, so you could size up with those or you can get the even softer ones I think they were the pascal??? and size down.",5,31/07/2022 15:48,Dr. Martens Women's 1460 W Softy T Fashion Boot,Clothing_Shoes_and_Jewelry,OR,
Small,Waist was very small despite getting the “husky” size.,1,13/04/2022 02:33,Arctix Kids Snow Sports Cargo Snow Pants with Articulated Knees,Clothing_Shoes_and_Jewelry,OR,
Beautiful as expected,"Exactly what I expected. It doesn't have the shoulder seams, but it can be worn on the shoulders as well and still looks amazing. It does have a tendency to creep up, so keeping it off shoulder is sort of a hassle. I got so many compliments the first time I wore it.",5,01/07/2022 14:32,OURS Off Shoulder Tops for Women Sexy Casual 3/4 Sleeve Floral Lace Shirt Blouse Black S,Clothing_Shoes_and_Jewelry,OR,
Great pants! I love them!!,"These pants look and feel great! I wouldn't mind if they had been about 5"" shorter, but I can roll them up. They're gorgeous!",5,26/07/2022 07:14,"Keevoom Plaid Pants for Men, Mens Stretch Skinny Flat-Front Casual Slim Fit Business Dress Chinos Pants",Clothing_Shoes_and_Jewelry,OR,
Beautiful work,Very superb enamel work.  I wasn’t expecting this fine of a pin.,5,28/10/2022 21:00,Germany (Eagle) - Friendship Lapel Pin,Clothing_Shoes_and_Jewelry,OR,
Perfect size for everyday use!,"Just the right size for daily use. Well made, durable and versatile. The tassels slide fully to either side or middle. Tabs on the bottom keep purse off the floor or ground. Easy access to inside and outside pockets. Lots of compliments received…I have the mustard color and I love it!",5,28/05/2022 20:44,SG SUGU Lunar Lightweight Medium Dome Crossbody Bag Shoulder Bag with Tassel | Zipper Pocket | Adjustable Strap,Clothing_Shoes_and_Jewelry,OR,
I ordered a 12/14 got a XXXL,To big on top wore anyway cause needed it. Will never wear again,2,17/08/2022 15:47,Womens Vintage Swimsuits Push Up Tummy Control One Piece Athletic Plus Bathing Suit Womens Swimwear,Clothing_Shoes_and_Jewelry,OR,
"Pretty cut, but too big","On the upside, the beige color is really nice, and I like the cut of the fluted bottom. It does hit me a little lower than the on the model, but it still makes my bottom look really cute. Now for the downside, the sizing: I ordered a size Small, and it was far larger than I was expecting. My measurements are 34B/C, 25"" waist, 36"" hip, so based on the size chart I thought it would be just fine. I need to roll the sleeves up or cuff them, and the V-neck completely gapes open. I just can't wear it out in public unless I wear a camisole underneath or sew it shut. I opted for the sewing option, and with a beige colored thread, I sewed it shut. It looks better now, except for the sleeves, but I wish it hadn't needed an alteration.",3,01/11/2022 23:23,VIMPUNEC Fall Tie Waist Sweater Dress Elegant V Neck Wrap Sweater Dress Knit Mini Sweater Dress,Clothing_Shoes_and_Jewelry,OR,
Fits like a sock,Exact fit. Not much wiggle room. Very comfortable and secure footing when walking. Definitely recommend.,5,22/08/2022 20:31,VIFUUR Water Sports Shoes Barefoot Quick-Dry Aqua Yoga Socks Slip-on for Men Women,Clothing_Shoes_and_Jewelry,OR,
Color was nice. Size of bag no so much.,"This bag was going to be a Christmas gift for my mother. I opened all the packaging to look it over. The purse is cute, nice coordinated colors. Decided to return expensive purse. I learned a couple of important lessons. 1. Check measurements twice before ordering.2. Do not order from a foreign country. I now own a very small , very expensive ($60 +)  purse that no one can use. I would have cost me over a hundred dollars to ship it back to China.",1,12/12/2022 06:50,"Womens Genuine Leather Handag Purse, Colorful Leatherr Splicing Tote Shoulder Crossbody Bag for Women",Clothing_Shoes_and_Jewelry,OR,
Opened multiple watches multiple times,"The cradle and case back remover just simply work. Frankly, it has exceeded my expectations because I don't typically hope for much with cheap Amazon tools, but I'll be damned... It is still perfectly functional after 10+ openings/closings.",5,29/07/2022 03:38,Vastar Watch Adjustable Opener Back Case Press Closer Remover Repair Watchmaker Tool and Watch Case Back Opener Repair Remover Holder Tool,Clothing_Shoes_and_Jewelry,OR,
Black please,Bought these so I could put my shades in them and carry in my various purses to avoid bulk. Overall functional but colour is not. I can live with the gray bit would prefer black.,4,14/08/2022 20:28,Artificial Leather Slim Travel Sunglasses Case Holder with Carabiner Hook Soft Leather Eyewear Sleeve unisex,Clothing_Shoes_and_Jewelry,OR,
Not material I like,I am not a fan of leggings that look shiny and these do. Material is also thick. I did think the style was cute .,1,07/05/2022 23:34,"Inno Bootcut Yoga Pants Capris with 3 Pockets for Women, High Waisted Womens Yoga Pants Workout Bootleg Pants",Clothing_Shoes_and_Jewelry,OR,
So far so good,Have not tested it in a down pour yet.  It seems durable.  It is light. Can fit in the backpack easily for school.  Appears to be a great rain coat.,5,29/11/2022 11:57,Columbia Boys' Glennaker Rain Jacket,Clothing_Shoes_and_Jewelry,OR,
Great lightweight dress!,The dress is exactly how it looks in the pic. I love it!,5,20/04/2022 16:04,"elescat Women's Spring Sun Dress Casual Tshirt Mini Short Sleeve Boho Beach Swing Loose Fit(Purple Floral,2XL)",Clothing_Shoes_and_Jewelry,OR,
Like this style and material.,"This is a fun dress to have, dress up or not it looks good",5,18/07/2022 14:00,Summer Dresses for Women Casual Beach Cover Ups Sundress with Pockets,Clothing_Shoes_and_Jewelry,OR,
Nice messenger bag,Nice messenger bag.  This has a good feel to it. I like the design and it seems a good size.  Good for travel or walking around. Nice size compartments for wallets and keys and cellphones I think,5,17/07/2022 16:02,Small Men's Waterproof Messenger Bag - Ideal Crossbody Sling Purse Handbag for Work and School - Casual Black Shoulder Bag,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/713JDp8aehL._SL1600_.jpg
Great little booties,I’m so happy to find these! They are made well and very comfortable!!,5,16/11/2022 20:53,COASIS Women's Chelsea Boots Chunky Heel Slip On Ankle Booties with Elastic Sided,Clothing_Shoes_and_Jewelry,OR,
"Great Sandal, awesome quality!  Fantastic artistry!","Love these and they are so beautiful but safe, comfortable, made very well! Great quality and even the inner soles are suede leather, so soft and comfy on my bare feet!! I love them!! I have spinal issues & I have zero fear in walking in these! Durable, brand is awesome & seller ships as promised!  I am a tall female with size 12 shoes. ( think size 9 &1/2-10 in mens shies ) These fit perfect and I love that “Easy Spirit” has the larger sizes available! I got them in the rose gold! Subtle color, perfection! A pale rose gold! Enjoy! 5*’s+ ⭐️ ⭐️⭐️⭐️⭐️",5,03/08/2022 02:00,Easy Spirit Women's Hazel Wedge Sandal,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/710zdVQ-h9L._SL1600_.jpg
Beutiful bag,Beautiful bag for elementary schoold girls. Very nicely made with lot of room and pockets. Great color combinations and material. Looks durable and sturdy. Little girls will love it.,5,13/02/2023 06:01,"Gazigo Girls Backpack Elementary School, Bunny Backpack for girls Cute Kids Laptop Bag Kindergarten Preschool Bookbag Mochila Para 5.6.7.8.9.10 Niñas(Only Backpack Purple)",Clothing_Shoes_and_Jewelry,OR,
Comfortable and Quality,"I liked these shoes. Comfortable and good quality. Bought to wear to amusement park, needed something that strapped on with support. These worked perfect!",5,28/05/2022 13:38,Dr. Scholl's Shoes Women's Adelle 2 Sandal,Clothing_Shoes_and_Jewelry,OR,
A little disappointed…,"These are very tiny earrings, which in itself is ok. But they didn’t come in a box or anything, so when I received them the posts were bent out of shape. I was able to somewhat straighten them, except for the very tip on one side. It makes the backing difficult to put on. These are relatively cute, but as far as asymmetric earrings so, there are better options.",3,16/12/2022 23:55,Asymmetrical Stud Earrings | Dangle CZ | Cubic Zirconia Chain | Sterling Silver,Clothing_Shoes_and_Jewelry,OR,
Provides durability and strength between calf and ankle.,Provides durability and strength between calf and ankle when exercising. It also helps prevent blood clots.,5,13/04/2022 18:40,"bropite Copper Compression Socks for Men & Women Circulation- 6 Pairs 20-30mmhg Support Compression Socks - Best for Running, Athletic, Nurses, Pregnancy, Flight",Clothing_Shoes_and_Jewelry,OR,
Classic style,"I have to get a 2XL for my 6' - 4"" boyfriend, as the larger size usually fits his arms better. This is a nicely made item. The fabric is soft and thick. The zipper works well. I've washed and dried the item, and there was no change in color or shape/size of the garment. Great for cooler days.",5,04/11/2022 23:19,Goodthreads Men's Full-Zip Washed Fleece Hoodie,Clothing_Shoes_and_Jewelry,OR,
Quality is fine,Not as large as thought it would be is disappointing.,3,25/02/2023 00:05,"Hide & Drink, Curvy Coin Pouch Handmade from Full Grain Leather (Bourbon Brown)",Clothing_Shoes_and_Jewelry,OR,
Made well,"The shirt is cute. Heavier material than a tee. Washes up well, no shrinkage. Arm hole are a little large but it not to big. It will be a good fall shirt. All snd all good buy",4,03/09/2022 03:37,Womens Summer Flare Ruffle Short Sleeve T Shirts Round Neck Casual Tops,Clothing_Shoes_and_Jewelry,OR,
Snug fit,Small,3,03/05/2022 14:29,Revolt Women's Juniors Classic Twill Short Overalls,Clothing_Shoes_and_Jewelry,OR,
Not what I expected,Cheaper than I expected  No shape,2,07/01/2023 22:21,"Natural Uniforms Ultralite Women's Clogs with Strap, Nursing Medical Work Mule",Clothing_Shoes_and_Jewelry,OR,
True to Chantelle sizes,"I know that different lines fit differently but his is true to their size, which I generally find fairly consistent. This fits and is comfortable. I like the cut of the front which fits fine with my v-neck shirts. It’s also light enough that it’s close enough to my skin tone to be nude even under white or light colors. Slightly padded it’s a T-shirt bra so no seams on the cups.",4,05/12/2022 18:10,"Chantelle Women's Parisian Allure, Plunge T-Shirt Bra",Clothing_Shoes_and_Jewelry,OR,
Inseam measurement inaccurate.,These are listed with a 29 inseam. The pair I got are 2 INCHES too short and measure 27 long instead. I really wanted to like these but wide leg high-waters flapping about is not what I had in mind...,2,02/05/2022 16:22,Levi's Women's High Waisted Straight Jeans,Clothing_Shoes_and_Jewelry,OR,
Soft and Perfect,Soft and perfect for summer. Can I just say pockets! :) I love this dress. I also pulled it over my bathing suit and used it as a bathing suit cover. Did I mention how soft it was? Buy it now!,5,06/04/2022 21:37,BELAROI Women Plus Size Short Sleeve T Shirt Dresses Color Block Swing Tunic Casual Summer Dress with Pockets,Clothing_Shoes_and_Jewelry,OR,
Love these,Work great,5,09/02/2023 14:46,Outgeek Handbag Storage Handbag Organizer 3 Pack Dust Cover Bag Transparent Anti-dust Purse Storage Bag for Hanging Closet with Zipper and Handle,Clothing_Shoes_and_Jewelry,OR,
Great two piece!,"I’m a thicker woman and I don’t usually even buy bathing suits but I bought this one for a cruise and I loved it! Perfect fit, true high rise bottoms to cover the belly, the top was comfortable. My girls aren’t that big but it made them look great lol",5,11/11/2022 15:08,Yonique Womens Plus Size Bikini High Waisted Swimsuits Two Piece Bathing Suits Tummy Control Swimwear,Clothing_Shoes_and_Jewelry,OR,
Top is Great for Petites,"I found this Hanes top to be a little roomier than I anticipated.  I ordered a Medium (my usual size), but it’s a bit loose all over.  The width under the arms is 20.5 inches, which is approximately 41” all around.  I do like that the sleeve length (from neck to sleeve hem) is short (26.5”) which is nice for a petite person like me.  Also, the hem falls near my mid thigh.  I am 5’3” and 120 lbs.  It is made of 60% polyester, 30% cotton, and 10% rayon.  I wear it as an undershirt for layering, and it didn’t feel scratchy or sweaty to me.  The neckline is also roomy. If you want form-fitting, you will need to go one size smaller.  Tall people may find it too short.  The length from back of neck to hem is 25”, and that’s the back length.  The back is 2 inches longer than the front.  I like this top, because it works for a petite person like me.  The price is reasonable, too.  The manufacturer should package it into like a 3-pack for a reduced price.",5,01/02/2023 16:20,"Hanes Originals Tri-Blend Long-Sleeve T-Shirt, Crewneck Tee for Women, Relaxed Fit",Clothing_Shoes_and_Jewelry,OR,
A lovely hat!,"This is a much higher quality, nicer-looking hat that other similar hats in this price point.  Not costume-y at all;  well made, looks good on the outside as well as the inside, proud to wear it.",5,09/11/2022 13:06,Ashen Fane Wool Fedora with Pleated Satin Band OSFM,Clothing_Shoes_and_Jewelry,OR,
Pretty,"This is a cute dress. I liked it. I thought it was flattering. I thought the fit was pretty good. I thought that it was unique and looked good. The dress was relatively comfortable. The fit was okay. It wasn't too hot, which for me is important since we live in Florida. It wasn't too hard to clean. I thought it seemed trendy. It felt durable and the fabric was relatively soft. It would work in a wide variety of settings. It was as described and I would recommend it.",5,04/04/2022 21:55,PiePieBuy Womens Off The Shoulder Ruffle Dress Smocked Tiered Lace Up Chiffon Summer Sundress,Clothing_Shoes_and_Jewelry,OR,
So cute! Size-large,"I liked the color of it! Fits good but when putting it on it’s not so stretchy, only had issue with the bottom since I have wider hips. Once I got it on it fit so well!",4,26/07/2022 09:18,Swmmer Liket High Waisted Bikini Sets for Women Boy Shorts Swimsuits Sporty Bathing Suit,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/613FcnZorXL._SL1600_.jpg
Wife loves it,Great price and fast shipping,5,08/01/2023 07:10,Funny Civil Engineers TShirt I'm A Crazy Civil Engineering T-Shirt,Clothing_Shoes_and_Jewelry,OR,
Bought as a gift,Bought this off of my daughter's Amazon list. She loved how it fit..,5,02/01/2023 02:21,DEARCASE Maxi Dress for Women Short Sleeve Casual Summer Loose Plain Comfy Long Dresses with Pockets,Clothing_Shoes_and_Jewelry,OR,
"If you are between sizes, size up to prevent tears.",I’m a half a die bigger than the biggest size. And my butt split the seams right up the butt crack.,2,27/02/2023 16:49,CAMPSNAIL 4 Pack Leggings with Pockets for Women - High Waisted Soft Tummy Control Slimming Black Yoga Pants Workout Running,Clothing_Shoes_and_Jewelry,OR,
Can’t beat carters clothing,Really enjoy seeing my 2 year old daughter running around in comfortable clothing. Can create easy cute outfits from these color pants. Easy put on her and easy to remove. Soft and stretch allows comfort and room. Great product.,5,27/01/2023 08:32,"Simple Joys by Carter's Baby Girls' Pant, Pack of 4",Clothing_Shoes_and_Jewelry,OR,
"Size up one size, but overall absolutely cute",The quality of the T-shirt is a cotton and spandex combo- great in my opinion. Love the grayish tie die look and the flower prying and color is exactly as pictured. This dress took over a week to arrive and I recommend sizing up one size. My daughter is a very short 9 year old so I assumed the 9-10 yrs size would give her some room to grow into and be longer in length as the little girl pictured in the advertisement but it fit her just right which means she will grow out of it in a few months or after a few washes (will update in future if the dress does in fact shrink) I personally recommend sizing up to the next size which would be 11-12 yrs I’m my case,5,15/10/2022 18:19,LOCOLOCO KIDS Flower Pattern Girls Mini Daisy Tshirt Dress for Girl's Sundress Fashion Daily Casual Dress 9-15 Years,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/71kVyogUBXL._SL1600_.jpg
Absolutely a must for travelers!,Best little scale we have found ! Very accurate and handy while flying !,5,19/09/2022 02:21,SHANJE Luggage Scale 110 Lbs High Precision Travel Digital Hanging Scales 50kg with Hook,Clothing_Shoes_and_Jewelry,OR,
as rated,"comfy, warm, easy to put on.",5,02/03/2023 15:38,UBFEN Womens Mens Slippers Memory Foam Comfort Fuzzy Plush Lining Slip On House Shoes Indoor Outdoor,Clothing_Shoes_and_Jewelry,OR,
Beautiful Color,"I got these for myself but quickly realized they were meant for my daughter when I saw the color in person. These are a gorgeous green color and mildly transparent. The shape of these are awesome. I collect vintage glasses and I have a ridiculously large collection and these fit right in with my authentic ones. I really recommend these, they're light weight, comfortable, stylish, beautiful color and block a lot of light.",5,28/12/2022 19:18,SOJOS Retro Oversized Square Sunglasses Womens Vintage Shades Large Sun Glasses Trendy Bold Designer Sunnies SJ2256,Clothing_Shoes_and_Jewelry,OR,
My daughter loves these leggings,My daughter loves these leggings. She loves the pocket on the side,5,02/02/2023 19:20,Stelle Girls' Athletic Leggings Kids Dance Running Yoga Pants Workout Active Dance Tights with Pockets,Clothing_Shoes_and_Jewelry,OR,
Wide,Would work for fat ankles and calves,5,21/02/2023 17:23,ROPER Women's Amelia Western Boot,Clothing_Shoes_and_Jewelry,OR,
Very light-weight cotton dress and sweater for summer or spring.,I love this little dress but I thought it would be cute for winter but after getting it I see that the fabric is very thin making it more appropriate for summer or spring.  Thinner than average t-shirt material.,4,23/09/2022 15:55,PATPAT Baby Girls Dress and Cardigan Sets 2 PCS Toddler Girl Sunflower Print Sleeveless Dress and Long Sleeve Cardigan Set,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/7187YFK0lsL._SL1600_.jpg
Lightweight casual shirt - pairs well with jeans,"Wanted a casual outer layer that wasn't as heavy as a sweatshirt and this top fit the bill perfectly. I love that it has a hood and pockets and the waffle texture makes it more unique. The length is perfect - looks great with a pair of jeans and is probably long enough to cover your butt with a pair of leggings. The sleeves are fairly fitting down to about the elbow and then flare out a little to sort of a peasant type sleeve. Makes a nice casual top when the nights start getting a little cooler but you aren't quite ready for a sweatshirt. I am 5'4"", 175 lbs and the XL fits me well (I like my clothes a little loose.)",5,05/12/2022 01:04,FARYSAYS Women's Waffle Knit Tops Button V Neck Lantern Long Sleeve Hooded Pocketed Casual Loose Blouses Shirts,Clothing_Shoes_and_Jewelry,OR,https://m.media-amazon.com/images/I/51m23NPxWQL._SL1600_.jpg
Nicely made,"I purchased these for my daughter as part of her Christmas present, and I got them. I was surprised at how well that made they were in the red glass looks a lot like rubies. I’m thinking of ordering a pair for myself.",5,24/01/2023 18:15,Recycled Vintage 1940's Red Beer Bottle Sterling Silver Botanical Leverback Earrings,Clothing_Shoes_and_Jewelry,OR,
"COMFY, the waist is snug but not too tight, and the garment is well made","The lining is well attached, and the skirt is not see-through like so many.  Texture is nice, the cut is pretty flattering and it seems to hold up well in the wash if you follow the instructions.  The length is about 3 inches above the ankles on me (5'7"").  If it came in more colors I'd buy more.",5,26/01/2023 23:40,CATALOG CLASSICS Womens Reversible Long Skirt - Broomstick Boho Midi Skirt,Clothing_Shoes_and_Jewelry,OR,
Nice!,"I absolutely love these. I spend a lot of time working at home now and since no one can see below my desk in a zoom meeting, I'm one of those that wears my sweats. These are great. The fabric is lightweight enough that it's comfortable and there is enough stretch and return that I can easily sit and when I stand the fabric bounces back. An extra 5 stars for pockets that work. I also like the cuffed ankles since I'm short I find that sometimes pants are just too long. This eliminates the problem. They aren't so tight that they are leggings and they aren't sloppy - they actually look good, feel great and wear wonderfully. Oh, and they aren't see through.",5,06/04/2022 18:45,MCPORO Womens Joggers with Pockets & Drawstring-Sweatpants for Women Workout Running Yoga Lounge Pants,Clothing_Shoes_and_Jewelry,OR,
Cute,Bought them for a wedding and the groom and his attends used for a picture.,5,28/07/2022 14:57,Whaline 5 Inch Large Self Adhesive Fake Mustaches Novelty Black Mustache for Masquerade Costume Party (6 Pieces),Clothing_Shoes_and_Jewelry,OR,
So Pretty,"These are small earrings, but I love the Lapis center and the diamond accents. In the right light, the diamonds sparkly quite well. These will go with a lot of outfits, especially if you're wearing jeans to pick up the lapis stone color. Great for casual wear and dressing up. My only issue is I found the post to be a little shorter than I prefer, and I don't think my ear lobes are especially large. I will enjoy these for a long time, they are classic and classy design.",4,01/12/2022 19:34,"14K Gold Diamond Earrings for Women (H-I Color, I1-I2 Clarity) by Belantina",Clothing_Shoes_and_Jewelry,OR,
"Good fit, Good colors!","My son doesn't complain at all about these Cotton Day crew socks, and he is quite picky. They're soft and comfortable and don't slide down. They've got a good stretch to them too. We love all the soft and solid colors. I believe they're priced fairly based on the high quality of material. I'd definitely order these again!",5,14/10/2022 08:51,COTTON DAY Kids Boys Fun Novelty Crew Socks Colorful Pattern Design Shark Scull Robot,Clothing_Shoes_and_Jewelry,OR,
Beautifully made and strong,They are the perfect size for me and are very well made.  I'm impressed so I made another purchase...,5,20/02/2023 17:00,Silvershake 5X4mm Petite Genuine Gemstones 925 Sterling Silver Stud Earrings Jewelry for Women First or Second Hole Piercing,Clothing_Shoes_and_Jewelry,OR,
Great value,"Basic cotton t-shirts.  Weight of fabric is good, not thin like so many others on the market today.",5,24/07/2022 20:46,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",Clothing_Shoes_and_Jewelry,OR,
So Comfortable and Warm,"Since I always have cold feet and live in the northeast, I needed a slipper that will keep my feet warm all winter plus has decent support. These felt clog slippers are just what I needed. I purchased my usual shoe size and they fit perfectly. The lining and support is great plusthey are nice and warm and cozy on my feet. Get these slippers if you need to keep your feet warm.",5,05/10/2022 00:45,Clarks Womens Wool Felt Clog Slippers JMH1319T - Warm Cozy Plush Faux Fur Lined - Indoor Outdoor House Slipper for Women,Clothing_Shoes_and_Jewelry,OR,
Too big!,Order a smaller size than what you think,3,15/10/2022 18:49,Skechers Women's Walking Sneaker,Clothing_Shoes_and_Jewelry,OR,
Comfy,"Good work sock, very comfortable, wish they were a little longer though.",4,13/06/2022 17:10,Dickies Men's Light Comfort Compression Over-the-calf Socks,Clothing_Shoes_and_Jewelry,OR,
Love the bronze/gold metallic color,"I really like the bronze/gold color. It goes with a lot. Can be used business, casual or a bit dressier. I like the multiple sizes especially for travel. The middle one actually holds quite a bit. My only complaint was it arrived in only clear plastic bag and the hardware made some small dents that haven't gone away even after 2 weeks.",5,05/11/2022 20:56,Women Fashion Handbags Wallet Tote Bag Shoulder Bag Top Handle Satchel Purse Set 4pcs,Clothing_Shoes_and_Jewelry,OR,
A little tight,I would have given 5 stars but they are a  little to tight around the ankle. I bought the large size since I am a ten in shoes. They are ok to wear for a couple of hours but I can’t recommend wearing them longer.,4,02/05/2022 13:54,"Hanes Women's Value, Show Soft Moisture-Wicking Socks, Available in 10 and 14-Packs",Clothing_Shoes_and_Jewelry,OR,
Immatation leather. Doesn't stretch.,I liked the fit until my feet would swell in the heat. Attractive. Many compliments from friends.,5,09/08/2022 13:46,HARENCE Women's Summer Sandals Casual Bohemia Gladiator Wedge Shoes Comfortable Ankle Strap Outdoor Platform Sandals Closed Toe,Clothing_Shoes_and_Jewelry,OR,
Order up,The top is long enough to tuck in. The fabric is really soft and warm. I usually wear a medium but ordered a large after reading reviews. Fits perfectly.,5,23/10/2022 23:37,"WEERTI Thermal Underwear for Women Long Johns Women with Fleece Lined, Base Layer Women Cold Weather Top Bottom",Clothing_Shoes_and_Jewelry,OR,
L❤ ve,❤,5,06/06/2022 18:24,H&Z Rainbow Love Bracelets Stackable Heishi Beaded Bracelets for Women Teen Girls Boho Friendship Stretch Surfer Bracelets Alphabet Vinyl Disc Bead Bracelet Jewelry,Clothing_Shoes_and_Jewelry,OR,
Comfy no press shirt for a good price,65/35 polyester/cotton blend gives softness while making it almost wrinkle-free. Long enough to tuck in without easily untucking when moving around. Good fit all around and comfortable. Looks great.  Washed up nicely with no shrinking and is nearly wrinkle free coming out of the dryer.,5,23/08/2022 20:32,JMIERR Mens Cotton Linen Shirts Summer Casual Long Sleeve Band Collar Button Down Beach Shirt,Clothing_Shoes_and_Jewelry,OR,
Must have ! Great price/quality,"This is a must have for every woman who want a great supportive yet sexy bra! Looks just like the picture they have advertised, It felt so comfortable, great back support, some push up, made the cleavage look great! Adjustable straps, lots of hooks in the back with a. Beautiful lace overlay and hanging jewel on the front. Honestly forgot I was wearing a bra and will be trying more from this brand.",5,11/07/2022 14:25,FallSweet Plus Size Lace Bra C Cup Wide Back Push Up Brassiere for Women,Clothing_Shoes_and_Jewelry,OR,
My wife likes them,"My wife advised me that she really likes these shoes. They fit her well and she has a need for comfy shoes due to swelling feet and pain. She says they are quite comfortable and she likes how they look. I agree, I think they look great on her.",5,23/09/2022 08:36,Clarks Women's Ashland Spin Q Slip-On Loafer,Clothing_Shoes_and_Jewelry,OR,
They are good socks,"Fits as expected, good quality.",5,09/11/2022 21:36,COOVAN 10 Pairs Mens Ankle Socks Men 10 Pack Low Cut Comfort Cushion Casual Socks,Clothing_Shoes_and_Jewelry,OR,
Gracias,gracias,5,18/07/2022 13:31,"Fuinloth Women's Quilted Vest, Stand Collar Lightweight Zip Padded Gilet",Clothing_Shoes_and_Jewelry,OR,
Comfy,These pants are nice. They are extremely versatile and work for many situations. These pants are comfortable. I like them a lot. They fit nicely and feel very good. We have a lot of products from this company and have been happy with them. They are easy to wash and wear. We wear pants like these all the time because we would rather be comfortable. They have a nice look to them. They are flattering. They feel durable. I am pleased with the quality. They are reasonably priced. I would recommend these. Exercise study:,5,19/08/2022 20:51,BUENOS NINOS Joggers for Women Quick Dry Running Hiking Pants for Women Casual Lightweight Breathable Athletic Pants,Clothing_Shoes_and_Jewelry,OR,
Stop thinking about it and get them!,Much cheaper than hey dudes but looks/feels the same. I wear a 9.5 so I ordered a 10 and they fit nicely. Would but again!,5,07/07/2022 14:41,"Betrue Lightweight Boat Shoes for Women, Womens Casual Loafers, Womens Slip On Deck Shoes, Breathable Canvas Sneakers for Women",Clothing_Shoes_and_Jewelry,OR,
They are great arm candy,The individual bracelets are great by themselves and when put together it is fantastic,5,06/11/2022 15:21,Octwine Fashion Rhinestones Bracelets Sets for Women Gold Silver Layered Chunky Pendant Charms Chain Stackable Wrap Bangle Adjustable Bracelet Jewelry Accessories for Women,Clothing_Shoes_and_Jewelry,OR,
Pj,Good quality,4,19/06/2022 17:12,Schmoopy Boys Dinosaur Pajamas Size 2-12,Clothing_Shoes_and_Jewelry,OR,
Not a good choice for international travel,Have to be careful since my original review got rejected... don't buy this unless you are traveling to a resort and only you touch this suitcase. Carry-on will be a challenge for this item. Very toy-like. No way this will last. It should cost a third of the price.,2,13/02/2023 12:46,"Mixi Carry On Luggage Wide Handle Luxury Design Rolling Travel Suitcase PC Hardside with Aluminum Frame Hollow Spinner Wheels, with Cover, 20 inch, Rock Grey",Clothing_Shoes_and_Jewelry,OR,
